Name,Address,Category,Description,Phone Number,Hours of Operation
New York Psychological Association,"211 E 43rd St, New York, NY 10017",Counseling,Provides mental health counseling and therapy services.,(212) 555-1234,Mon-Fri: 9am - 5pm
Safe Horizon Counseling Center,"2 Lafayette St, New York, NY 10007",Counseling,Mental health support for individuals and families affected by trauma.,(212) 555-2345,Mon-Fri: 9am - 6pm
New York Counseling and Mental Health Services,"10 E 40th St, New York, NY 10016",Counseling,Licensed therapists providing mental health counseling and therapy.,(212) 555-6783,Mon-Fri: 8am - 7pm
Psychotherapy Center of New York,"61 E 8th St, New York, NY 10003",Counseling,Provides a wide range of psychotherapy services for individuals and couples.,(212) 555-4321,Mon-Sun: 9am - 8pm
Therapists in NYC,"330 E 15th St, New York, NY 10003",Counseling,Therapists offering individual and family therapy for mental health issues.,(212) 555-5467,Mon-Fri: 9am - 6pm
NYC Mental Health Center,"199 W 12th St, New York, NY 10011",Counseling,Specializes in trauma recovery and cognitive behavioral therapy.,(212) 555-8765,Mon-Fri: 9am - 5pm
Manhattan Mental Health Clinic,"85 5th Ave, New York, NY 10003",Counseling,Mental health professionals providing counseling for depression and anxiety.,(212) 555-5673,Mon-Fri: 8am - 6pm
Greater Harlem Housing Development Corp.,"2293 7th Ave, New York, NY 10030",Counseling,Offers mental health services and referrals to housing assistance.,(212) 555-6543,Mon-Fri: 9am - 6pm
Brooklyn Mental Health Counseling,"1013 7th Ave, Brooklyn, NY 11215",Counseling,Counseling services for individuals and families in the Brooklyn area.,(718) 555-2134,Mon-Sun: 10am - 8pm
City Psychological Services,"42 Broadway, New York, NY 10004",Counseling,Provides psychological assessments and therapy services for adults and children.,(212) 555-8900,Mon-Fri: 9am - 5pm
