Name,Address,Category,Description,Phone Number,Hours of Operation
Food Bank For New York City,"39 Broadway, New York, NY 10006",Food,Food distribution center serving NYC’s hungry.,(212) 555-3456,Mon-Fri: 8am - 6pm
City Harvest Food Rescue,"6 E 32nd St, New York, NY 10016",Food,Collects surplus food and delivers it to local food pantries and shelters.,(212) 555-4567,Mon-Fri: 9am - 5pm
Harlem Food Pantry,"240 W 123rd St, New York, NY 10027",Food,Provides nutritious food to residents in Harlem.,(212) 555-5679,Mon-Sat: 9am - 4pm
St. John’s Bread and Life,"795 Lexington Ave, Brooklyn, NY 11221",Food,A community food pantry offering groceries and hot meals.,(718) 555-6780,Mon-Sat: 10am - 5pm
BronxWorks,"1130 Grand Concourse, Bronx, NY 10456",Food,Food pantry and community kitchen providing meals to Bronx residents.,(718) 555-2348,Mon-Sat: 10am - 4pm
God’s Love We Deliver,"166 6th Ave, New York, NY 10013",Food,"Delivers nutritious, medically tailored meals to people living with serious illness.",(212) 555-8765,Mon-Fri: 8am - 6pm
Loaves & Fishes Food Pantry,"317 E 15th St, New York, NY 10003",Food,Provides food for families in need in the East Village.,(212) 555-3459,Mon-Fri: 10am - 4pm
New York City Rescue Mission,"90 Lafayette St, New York, NY 10013",Food,Provides meals and emergency shelter for homeless individuals.,(212) 555-1235,24/7
Red Hook Initiative,"768 Hicks St, Brooklyn, NY 11231",Food,A food pantry offering free meals and groceries to community members in need.,(718) 555-4321,Mon-Fri: 9am - 5pm
United Jewish Council of the East Side,"160 Avenue D, New York, NY 10009",Food,"Provides food, meals, and groceries for low-income families in the Lower East Side.",(212) 555-9876,Mon-Sun: 9am - 7pm
