Name,Address,Category,Description,Phone Number,Hours of Operation
Project Renewal Outreach,"200 Varick St, New York, NY 10014",Outreach,Provides outreach services to homeless individuals across NYC.,(212) 555-7890,Mon-Sun: 9am - 7pm
NYC Department of Homeless Services,"33 Beaver St, New York, NY 10004",Outreach,Connects people experiencing homelessness with shelters and resources.,(212) 555-8901,Mon-Fri: 8am - 6pm
Care for the Homeless Outreach,"305 7th Ave, New York, NY 10001",Outreach,Outreach services for individuals living on the street in NYC.,(212) 555-3457,Mon-Sun: 24/7
Union Square Outreach Program,"275 7th Ave, New York, NY 10001",Outreach,Street outreach for individuals in need of mental health support.,(212) 555-8902,Mon-Fri: 8am - 7pm
Pathways to Housing NYC,"90 John St, New York, NY 10038",Outreach,Offers street outreach services to individuals with chronic homelessness.,(212) 555-9013,Mon-Sun: 24/7
Urban Pathways,"45 W 36th St, New York, NY 10018",Outreach,Connects individuals experiencing homelessness with housing and supportive services.,(212) 555-4444,Mon-Sun: 24/7
Breaking Ground,"275 7th Ave, New York, NY 10001",Outreach,Street outreach and supportive services to homeless individuals in NYC.,(212) 555-5555,Mon-Sun: 9am - 9pm
Outreach Foundation,"2115 Broadway, New York, NY 10023",Outreach,Outreach program serving homeless and low-income communities in NYC.,(212) 555-6782,Mon-Sat: 9am - 6pm
NYC Homeless Outreach Program,"455 6th Ave, New York, NY 10011",Outreach,Providing outreach and resources to homeless individuals in NYC.,(212) 555-2345,Mon-Sun: 24/7
Hope for the Homeless,"850 5th Ave, New York, NY 10065",Outreach,A program that offers outreach and shelter services for the homeless.,(212) 555-3330,Mon-Sun: 9am - 6pm
