Name,Address,Category,Description,Phone Number,Hours of Operation
Bowery Mission,"227 Bowery, New York, NY 10002",Shelter,"Offers emergency shelter, meals, and recovery services for homeless individuals.",(212) 555-9012,24/7
Coalition for the Homeless,"129 Fulton St, New York, NY 10038",Shelter,"Provides emergency shelter, food, and advocacy for homeless people.",(212) 555-0123,Mon-Sun: 24/7
New York City Rescue Mission,"90 Lafayette St, New York, NY 10013",Shelter,"Homeless shelter providing meals, shelter, and recovery programs.",(212) 555-1235,24/7
Good Shepherd Services Shelter,"309 W 108th St, New York, NY 10029",Shelter,A shelter and resource center for women and children escaping domestic violence.,(212) 555-2346,Mon-Fri: 8am - 6pm
Project Hospitality,"100 Park Ave, Staten Island, NY 10302",Shelter,"Shelter for homeless individuals, providing food, clothing, and emergency housing.",(718) 555-1122,Mon-Sun: 24/7
The Bowery Residents' Committee,"9 Washington Square N, New York, NY 10003",Shelter,"Offers shelter, food, and social services to homeless New Yorkers.",(212) 555-6666,24/7
Women In Need (WIN) Shelter,"120 W 14th St, New York, NY 10011",Shelter,Provides temporary housing and support services for women and children.,(212) 555-0124,Mon-Sun: 24/7
St. Luke’s-Roosevelt Hospital Center,"1111 Amsterdam Ave, New York, NY 10025",Shelter,"General and emergency medical services, including specialized programs.",(212) 555-7777,24/7
Hope House Shelter,"15 W 60th St, New York, NY 10023",Shelter,Provides emergency shelter for homeless individuals and families.,(212) 555-8888,Mon-Sun: 24/7
Safe Haven Shelter,"250 W 48th St, New York, NY 10036",Shelter,Emergency shelter services for individuals and families in need.,(212) 555-9871,Mon-Sun: 24/7
